Project ID,Project Name,Project State,Project Link,Project Category,Project Image,Project Overview,Project Goal Amount,Project Pledged Amount,Project Funded Ratio,Project Country,Project Locality,Project Currency,Project Backers Count,Creator ID,Creator Name,Creator Profile Link,Creator Biography,Creator Joined Date,Creator WebSite 1,Creator WebSite 2,Creator WebSite 3
671665485,Tennis Motion Desktop,failed,https://www.kickstarter.com/projects/1872129499/tennis-motion-desktop,Software,https://ksr-ugc.imgix.net/assets/015/470/503/1ad320e1c5c1ecebc0f5ebfb612ff1e8_original.JPG?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1486802474&auto=format&frame=1&q=92&s=1e4c8cd58a8f7b2f968f505887f25c44,"A Microsoft Office 2016/365 App for Tennis Coaches, Clubs and Players",20000.0,0.0,0.0,Germany,"Aalen, Germany",EUR (€),0,1872129499,Dipl.-Ing.(FH) Klaus Rock,https://www.kickstarter.com/profile/1872129499,"Dipl.-Ing.(FH) Informationstechnik Klaus Rock
",Oct 2016,http://tennis-motion-desktop.com,http://tennis-motion.com,http://tennis-motion-world.com
1056561120,Solar Storm Warning System - Sunna Wedra,failed,https://www.kickstarter.com/projects/1563187649/solar-storm-warning-system,Space Exploration,https://ksr-ugc.imgix.net/assets/015/123/328/98e49ab964a1d2d9c3daaf72e5b97a94_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1486720625&auto=format&frame=1&q=92&s=51addec471ea6c41ab9f51f19a768a1c,Protect the Earth and get your free Access to NewSpace,200000.0,1446.0,0.7230000000000001,Germany,"Hamburg, Germany",EUR (€),6,1563187649,Denise Jones - CEO (deleted),https://www.kickstarter.com/profile/1563187649,,,,,
2128714441,Apeidos - Discover your Soundtrack,failed,https://www.kickstarter.com/projects/1831253656/apeidos-discover-your-soundtrack,Apps,https://ksr-ugc.imgix.net/assets/015/120/316/3dd13bdd12be2423e0d2c3ae468b3937_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1484055510&auto=format&frame=1&q=92&s=b7a221cf98b12ac8b8670515cbfa2ba6,As a group of four German students we recently developed a Promotion Platform for musicians. It's like Tinder & Instagram for music.,10000.0,0.0,0.0,Germany,"Wurzburg, Germany",EUR (€),0,1831253656,"Marc, Adrian, Andreas, Max",https://www.kickstarter.com/profile/1831253656,"In 2016 Apeidos was founded by a group of four music enthusiasts. The idea of discovering totally new music became a concept.
",Jan 2017,http://www.apeidos.com,http://www.facebook.com/apeidos,http://www.instagram.com/apeidosmusic
837902626,Virtual Reality Room Designer,failed,https://www.kickstarter.com/projects/974491037/virtual-reality-room-designer,Apps,https://ksr-ugc.imgix.net/assets/015/130/760/bab8585a0e453d65c17a358a7259a135_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1484126965&auto=format&frame=1&q=92&s=28eacb49fe1dd9f057f60b06aefcdbdc,"Home design in VR is amazing! You see and ""feel"" the room! Today there is no such app available for HTC Vive VR headsets ... not yet!",5000.0,31.0,0.62,Germany,"Passau, Germany",EUR (€),6,974491037,Florian Standhartinger,https://www.kickstarter.com/profile/974491037,"I've always been an enthusiast programmer, since the age of 6 years. So I started working as a developer, for various clients. Nowadays in more responsible roles and for bigger companies.",Jan 2017,,,
1280153944,Flunx app - Live matching based on topics and interests,failed,https://www.kickstarter.com/projects/538104635/flunx-app-live-matching-based-on-topics-and-intere,Apps,https://ksr-ugc.imgix.net/assets/013/330/326/f13f34e05db197b0c7609b6662a28329_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1470827431&auto=format&frame=1&q=92&s=383e42c9ee144f0a86468c04c1d1df75,"Write > Discover > Chat > Favor // Flunx for Android is online. With your help, we would be able to bring Flunx to the iPhone.",40000.0,150.0,0.375,Germany,"Hamburg, Germany",EUR (€),3,538104635,Dr. Christoph Niehus (deleted),https://www.kickstarter.com/profile/538104635,,,,,
2102847789,Smiley Mobil Hängermobile,failed,https://www.kickstarter.com/projects/207783882/smiley-mobil-hangermobile,Fabrication Tools,https://ksr-ugc.imgix.net/assets/014/924/495/459e2942b387353c7130e3344b2a33a6_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1482087560&auto=format&frame=1&q=92&s=c4b522e1d6112d102f0a9424eb4079ec,Das SmileyMobil Hängermodul kann auf jeden beliebigen Anhänger verspannt werden und gilt als Ladung. Absetzfunktion Werkzeuglos.,15000.0,0.0,0.0,Germany,"Heilbronn, Germany",EUR (€),0,207783882,Michael Trost,https://www.kickstarter.com/profile/207783882,"Geburtsdatum:          
",Dec 2016,,,
1734302866,Smart Sockel,failed,https://www.kickstarter.com/projects/2134446957/smart-sockel,Hardware,https://ksr-ugc.imgix.net/assets/015/103/244/afc7eba41bcf1f903fcf8586b2c48e1c_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1483915876&auto=format&frame=1&q=92&s=03fa9d1501583fcba50a3609552a20c5,THE SMART SOCKET OUTLET,2500.0,48.0,1.92,Germany,"Deutsch, Germany",EUR (€),1,2134446957,Ruslan Tataev,https://www.kickstarter.com/profile/2134446957,"Geboren in Rusland am 24.01.1969 
",Feb 2016,https://www.instagram.com/chip_level/,http://www.chip-level.de/,
871593952,Programmieren für ein besseres Leben,failed,https://www.kickstarter.com/projects/1959168954/programmieren-fur-ein-besseres-leben,Apps,https://ksr-ugc.imgix.net/assets/015/154/300/0b8783a1ab691f58d8fcf0f96a2454c9_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1484324263&auto=format&frame=1&q=92&s=f06c1b6e3bf59df514f4e37ab064e58b,Nehmen und Geben für eine bessere Welt durch Spielentwicklung. --Brunnenbauen ist unser Ziel-,40000.0,0.0,0.0,Germany,"Deutsch, Germany",EUR (€),0,1959168954,Günther,https://www.kickstarter.com/profile/1959168954,Der Hand-2-Hand Gründer,Jan 2017,http://generalservice24.de,,
601417286,HEGG™ - THE ULTIMATE FAST INFLATABLE BEANBAG / AIR MATTRESS,failed,https://www.kickstarter.com/projects/tidy-w/heggtm-the-ultimate-fast-inflatable-beanbag-air-ma,Gadgets,https://ksr-ugc.imgix.net/assets/015/176/851/7f6e3d495071691326c6b97b6e8c2630_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1484504992&auto=format&frame=1&q=92&s=c26524ba1b30481fa4c8bbb1cdca38dd,"The one and only - Easy to inflate, comfortable, durable, colorful, well shaped and easy to carry!",10000.0,4820.0,48.199999999999996,Germany,"Löhne, Germany",EUR (€),71,2137731139,Eike,https://www.kickstarter.com/profile/tidy-w,Our goal was to create a luxurious and unique product for everyone.,Jan 2016,,,
2044494613,WhatsLive,failed,https://www.kickstarter.com/projects/1683252737/whatslive,Apps,https://ksr-ugc.imgix.net/assets/015/184/991/56da9e81b638e22b425f4204848def21_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1484573345&auto=format&frame=1&q=92&s=b1909961ba293b590f75b29c0eb04757,"Übertrage per Live-Stream, dass, was dein Kunde sehen möchte und verdiene gleichzeitig nachhaltig Geld.",15000.0,20.0,0.13333333333333333,Germany,"Bielefeld, Germany",EUR (€),1,1683252737,Moritz Retemeier,https://www.kickstarter.com/profile/1683252737,"Hi,",Jan 2017,,,
